Date,Open,High,Low,Close,Adj Close,Volume
7/20/2022,169.470001,179.330002,168.009995,178.070007,178.070007,76053800
7/21/2022,178.850006,181.440002,175.449997,180.5,180.5,55704900
7/22/2022,178.929993,179.669998,171.369995,173.190002,173.190002,53667100
7/25/2022,170.190002,171.240005,166.490005,170.240005,170.240005,48074800
7/26/2022,168.889999,169.190002,164.779999,165.330002,165.330002,39786500
7/27/2022,170.320007,179.360001,169.130005,177.899994,177.899994,56977600
7/28/2022,179.75,181.399994,174.399994,179.839996,179.839996,47464600
7/29/2022,178.130005,182.440002,176.919998,181.630005,181.630005,43520200
8/1/2022,181.820007,188.460007,179.899994,184.410004,184.410004,47646900
8/2/2022,181.220001,189.380005,180.919998,185.259995,185.259995,48952700
8/3/2022,181.839996,189.679993,181.369995,188.929993,188.929993,41814600
8/4/2022,188.490005,192.740005,187.600006,192.149994,192.149994,40965200
8/5/2022,188.100006,192.289993,186.660004,189.889999,189.889999,38580100
8/8/2022,175.020004,182.389999,172.419998,177.929993,177.929993,98185900
8/9/2022,172.520004,174.470001,167.240005,170.860001,170.860001,66826300
8/10/2022,176.979996,181.179993,173.169998,180.970001,180.970001,59742200
8/11/2022,181.309998,187.070007,178.759995,179.419998,179.419998,50932700
8/12/2022,181.600006,187.179993,179.529999,187.089996,187.089996,47763000
8/15/2022,187.009995,191.639999,186.130005,190.320007,190.320007,45720700
